Deflection [mm]; Load [kN]
0; 0.8289623201364975
0.49897410923142616; 27.371058437186548
1.3268719512681955; 62.07637098126247
2.8086254660418177; 102.89577961045416
3.6309347980552005; 123.30382067801929
4.779772787149618; 145.74767611124867
6.418004582578213; 170.2240194160804
7.401582346695193; 186.54379928200956
8.714882202192292; 213.06926292875187
9.863720191286717; 235.51311836198124
10.68523116472533; 253.87869207575886
11.671204004566611; 276.3258740030499
13.144175575017762; 294.6781417405816
14.12935005628428; 315.0828563140849
15.767581851712876; 339.55919961891686
17.24534357361265; 370.1662714791721
19.211700743271834; 400.7633638572429
20.52819403306801; 435.45869691913435
22.332484412048828; 468.10158314505384
23.648179343270236; 500.754448853158
24.475278826732236; 533.4172940434466
26.279569205713052; 566.0601802693664
27.263146969830032; 582.3799601352952
28.571656673878508; 596.6506196593137
28.55968129525695; 566.0136093525048
28.217983825255274; 525.1709152648823
27.72300150889771; 508.84115591676846
26.569373368354654; 474.14249636081536
25.412551793512534; 431.27396738971333
24.2613187286938; 402.7027098951223
22.453036556839137; 359.8474869002664
21.13654326704296; 325.15215383837494
19.657983186568423; 292.5026146243324
18.178624747519095; 257.8106080565026
17.35631541550572; 237.40256698893745
16.370342575664438; 214.95538506164667
14.728917345936757; 182.30917234166554
13.413222414715342; 149.65630663356137
11.442075093607542; 106.80441013276686
9.965910088857306; 80.28227298008642
8.978340531866486; 53.75015634522083
7.666637393518926; 31.309627406053323
6.3589260480452126; 19.0814352358218
6.204842843114555; 41.551902621543604
6.706212028070283; 74.22140079995529
7.695378302210656; 104.83845214239545
8.682149500626714; 129.3281014234733
9.670517416192318; 157.90268541212595
10.660482048907447; 190.56220410835317
12.138243770807222; 221.16927596860842
13.125813327798042; 247.701392603474
14.114979601938415; 278.31844394591394
15.592741323838183; 308.9255158061692
16.746369464381225; 343.6241753621223
18.39018976983322; 382.39779014346504
19.871144926032073; 421.17473141886967
21.67703202216243; 457.9025523523637
23.15559210263698; 490.55209156640603
25.295193083021303; 547.69793304965
26.770559729196762; 572.1776028485435
29.559226230869335; 623.1827362941792
31.200651460597015; 655.8289490141603
32.844471766049; 694.6025637955032
35.30181945919189; 731.3170787527512
37.10610983817271; 763.9599649786707
38.91119857572829; 798.6453185583773
40.87915246253702; 833.3273456440228
42.3569141844368; 863.9344175042779
43.66861732278434; 886.3749464434458
45.143983968959816; 910.8546162423393
46.783014122963195; 937.3734269009584
48.75096800977191; 972.0554539866037
50.55446003017795; 1002.655872858736
52.84814421549294; 1037.3312469562582
54.653232953048516; 1072.016600535965
56.78564870625992; 1110.7802358351232
58.75280423449388; 1143.419795566981
61.049681854107945; 1186.2650390796525
63.50702954725085; 1222.9795540369003
65.14765641840376; 1253.583299403094
66.61982963028012; 1269.8930997868385
68.5869851585141; 1302.5326595186964
70.88066934382908; 1337.2080336162185
73.0098916627414; 1367.8017995002278
74.64732509959522; 1390.2356754512723
76.12269174577068; 1414.715345250166
77.75852846547498; 1433.064286493636
79.06623981094869; 1445.2924786638673
80.8657400384809; 1465.680560767063
81.84772108544831; 1477.9154059254176
