Deflection [mm]; Load [kN]
0; 0
0.17970734148791223; 4.498601637453817
0.5335759190809668; 40.52799599598245
0.7103073015830077; 59.668823109674236
0.9783465166061873; 72.05117973101392
1.6069502169406498; 83.30064287477649
2.5058251015376953; 94.54503336117659
4.3958972347253855; 104.6446941694877
5.656959854989633; 105.74715170289107
7.007301244830117; 111.3524380882169
8.266943521032928; 120.33780516261254
9.075930917170268; 130.4577566003727
10.065707821699476; 137.19593646327576
11.685508770624583; 147.300669928949
13.485490509058078; 157.4020216230474
15.19538185273738; 167.50506420293334
16.274640433137304; 177.61994298333127
17.714260592554016; 187.72805822057944
18.884218286591615; 194.46285631190767
20.144063469088916; 202.32209345187573
21.313818256832032; 210.1830214776313
22.933213393168142; 222.54001481215948
24.01287778615706; 230.40263372370248
24.822676807472373; 236.0180654237529
25.542385434033474; 241.63518800959082
26.26209406059459; 247.25231059542864
27.161780570369597; 253.992181344119
27.255726184719133; 232.59402170421004
27.168679384382305; 215.70376357358566
26.631383516569; 197.6958299374711
25.913095234069328; 184.19579781064112
24.924941579896053; 168.44857847231856
24.026675414182474; 153.82579818263594
23.12800343587993; 141.45527776180836
22.40991805967474; 126.82911570055091
21.6009306635374; 116.70916426279075
20.432393313561246; 102.09145663047047
19.083878080371182; 86.35100083529767
17.55518205767274; 70.61392681169957
16.2060581055992; 58.25186081980905
15.037114943034059; 45.88641305634371
14.048352569977315; 33.51758352130355
13.059184384331576; 23.401013855118208
12.249385363016277; 17.7855821550678
11.709451713374566; 14.41733766650998
10.808750672127108; 13.308116589956967
10.985279148334651; 33.575073638076105
11.971606645857502; 59.457462386245766
13.139535276950188; 77.45355982184833
14.03820725525274; 89.8240802426759
15.206338792639915; 106.69404774385112
15.925235794023056; 116.8156900673988
17.003885655539516; 130.30895865107902
17.992850934890757; 141.55165825169172
18.531567146765514; 151.67668234681435
19.430847843951536; 160.66881296435963
20.240241052677863; 168.53650453326486
21.499071703702707; 182.02639134537037
22.39774368200526; 194.39691176619795
23.20693398443709; 203.39073326953064
24.016327193163416; 211.25842483843587
24.465155916578464; 220.25900988491844
25.273940406421314; 231.50509125710596
25.992228688920978; 245.00512338393594
28.062075799028083; 257.35366228952694
29.95174211962679; 269.7055829666929
31.480843954914224; 283.19039712143604
33.37051027551294; 295.54231779860197
34.80972462234065; 307.90269290470513
36.519210153430976; 320.25799535344595
37.95801868766972; 334.87063032840393
39.93736959043365; 349.4731199886373
42.00721670054075; 361.82165889422834
42.63784946382013; 361.80982269371634
